idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
0,"PIC16F84-T100","top.Counter",89,109,0.2645,,"","待标注"
1,"PIC16F84-T100","top.prog_adr_o",8,8,0.3234,,"","待标注"
2,"PIC16F84-T200","top.Counter",89,109,0.2557,,"","待标注"
3,"PIC16F84-T200","top.inst_reg",23,30,0.9194,,"","待标注"
4,"PIC16F84-T200","top.Trojan_Trigger_Out",7,6,0.4221,,"","待标注"
5,"PIC16F84-T300","top.Counter",89,109,0.2825,,"","待标注"
6,"PIC16F84-T300","top.eep_dat_reg",43,55,0.9446,,"","待标注"
7,"PIC16F84-T300","top.Trojan_Trigger_Out",7,6,0.3927,,"","待标注"
8,"PIC16F84-T400","top.Counter",89,109,0.2731,,"","待标注"
9,"PIC16F84-T400","top.eep_adr_reg",33,43,0.9411,,"","待标注"
10,"PIC16F84-T400","top.Trojan_Trigger_Out",7,6,0.4751,,"","待标注"
11,"RC6-T100","top.tj_t1_cnt",9,9,0.3495,,"","待标注"
12,"RC6-T100","top.tj_t1_trig",4,3,0.2840,,"","待标注"
13,"RC6-T200","top.tj_t2_s_exkey_mod",5,4,0.4371,,"","待标注"
14,"RC6-T200","top.tj_t2_trig",4,3,0.1852,,"","待标注"
15,"RC6-T300","top.tj_t3_flag",7,6,0.2421,,"","待标注"
16,"RC6-T300","top.tj_t3_leak",11,11,0.3178,,"","待标注"
17,"RC6-T600","top.u_keyex.s_busy",15,15,0.6689,,"","待标注"
18,"RC6-T700","top.u_keyex.r_count",22,26,0.3738,,"","待标注"
19,"RC6-T800","top.u_keyex.s_tmp",43,76,0.3616,,"","待标注"
20,"RS232-T100","top.iRECEIVER.ena",6,5,0.0818,,"","待标注"
21,"RS232-T100","top.iRECEIVER.rec_data_cntrH_1",33,39,0.1648,,"","待标注"
22,"RS232-T100","top.iRECEIVER.rec_data_cntrH_2",37,42,0.1618,,"","待标注"
23,"RS232-T100","top.iRECEIVER.rec_data_cntrH_3",14,15,0.1352,,"","待标注"
24,"RS232-T100","top.iRECEIVER.rec_dataH",5,4,0.3074,,"","待标注"
25,"RS232-T100","top.iRECEIVER.rec_readyH",5,4,0.3460,,"","待标注"
26,"RS232-T100","top.iRECEIVER.rec_readyH_temp",6,5,0.8609,,"","待标注"
27,"RS232-T200","top.iRECEIVER.clk_l",3,2,0.1635,,"","待标注"
28,"RS232-T200","top.iRECEIVER.cntr_resetH",28,35,0.8783,,"","待标注"
29,"RS232-T200","top.iRECEIVER.count_l",11,10,0.3228,,"","待标注"
30,"RS232-T200","top.iRECEIVER.countH",19,25,0.8174,,"","待标注"
31,"RS232-T200","top.iRECEIVER.ena",4,3,0.1673,,"","待标注"
32,"RS232-T200","top.iRECEIVER.next_state",44,49,0.4014,,"","待标注"
33,"RS232-T200","top.iRECEIVER.rec_data_cntrH_1",33,39,0.1271,,"","待标注"
34,"RS232-T200","top.iRECEIVER.rec_data_cntrH_2",34,39,0.0997,,"","待标注"
35,"RS232-T200","top.iRECEIVER.rec_readyInH",24,30,0.8623,,"","待标注"
36,"RS232-T200","top.iRECEIVER.rstCountH",23,29,0.7420,,"","待标注"
37,"RS232-T200","top.iRECEIVER.shiftH",19,25,0.8040,,"","待标注"
38,"RS232-T2100","top.iRECEIVER.cntr_resetH",28,35,0.8750,,"","待标注"
39,"RS232-T2100","top.iRECEIVER.countH",19,25,0.7920,,"","待标注"
40,"RS232-T2100","top.iRECEIVER.ena",20,24,0.5428,,"","待标注"
41,"RS232-T2100","top.iRECEIVER.next_state",44,49,0.4154,,"","待标注"
42,"RS232-T2100","top.iRECEIVER.rec_dataH",5,4,0.3592,,"","待标注"
43,"RS232-T2100","top.iRECEIVER.rec_readyH",5,4,0.3198,,"","待标注"
44,"RS232-T2100","top.iRECEIVER.rec_readyH_temp",6,5,0.8274,,"","待标注"
45,"RS232-T2100","top.iRECEIVER.rec_readyInH",24,30,0.8395,,"","待标注"
46,"RS232-T2100","top.iRECEIVER.rstCountH",23,29,0.7502,,"","待标注"
47,"RS232-T2100","top.iRECEIVER.shiftH",19,25,0.7817,,"","待标注"
48,"RS232-T2100","top.rec_dataH_temp",6,5,0.7933,,"","待标注"
49,"RS232-T2200","top.iRECEIVER.cntr_resetH",28,35,0.8889,,"","待标注"
50,"RS232-T2200","top.iRECEIVER.countH",19,25,0.7580,,"","待标注"
51,"RS232-T2200","top.iRECEIVER.ena",19,25,0.5762,,"","待标注"
52,"RS232-T2200","top.iRECEIVER.next_state",44,49,0.4136,,"","待标注"
53,"RS232-T2200","top.iRECEIVER.rec_dataH",5,4,0.2849,,"","待标注"
54,"RS232-T2200","top.iRECEIVER.rec_readyH",5,4,0.3225,,"","待标注"
55,"RS232-T2200","top.iRECEIVER.rec_readyH_temp",6,5,0.8196,,"","待标注"
56,"RS232-T2200","top.iRECEIVER.rec_readyInH",24,30,0.8769,,"","待标注"
57,"RS232-T2200","top.iRECEIVER.rstCountH",23,29,0.7715,,"","待标注"
58,"RS232-T2200","top.iRECEIVER.shiftH",19,25,0.7452,,"","待标注"
59,"RS232-T2200","top.rec_dataH_temp",6,5,0.8675,,"","待标注"
60,"RS232-T2300","top.iRECEIVER.cntr_resetH",28,35,0.8879,,"","待标注"
61,"RS232-T2300","top.iRECEIVER.countH",19,25,0.7579,,"","待标注"
62,"RS232-T2300","top.iRECEIVER.ena",24,30,0.7171,,"","待标注"
63,"RS232-T2300","top.iRECEIVER.next_state",44,49,0.4264,,"","待标注"
